"","mmgene","type","alias"
"251","Fcrls","old symbol","Fcrl2"
"252","Fer","synonym","Tg(ACTA1-Utrn)1Ked"
"254","Fgf14","synonym","Fgf23lq3"
"255","Fgf18","synonym","Fgf23lq4"
"256","Fgfr1op","old symbol","Cep43"
"257","Fis1","old symbol","Fvis1"
"259","Fopnl","old symbol","Cep20"
"260","Fuk","old symbol","Fcsk"
"261","Fyb","old symbol","Fyb1"
"262","G6pc","old symbol","G6pc1"
"263","Gal","synonym","Ggta1"
"266","Gars","old symbol","Gars1"
"267","Gatsl2","old symbol","Castor2"
"268","Gatsl3","old symbol","Castor1"
"269","Gba","old symbol","Gba1"
"276","Gif","old symbol","Cblif"
"277","Gin1","old symbol","Gpin1"
"278","Gjc1","old symbol","Gjd3"
"279","Gm10184","old symbol","Kpna2rt"
"280","Gm11127","old symbol","H2-T15"
"281","Gm12166","old symbol","Sft2d1rt"
"282","Gm1673","old symbol","Nicol1"
"283","Gm7879","old symbol","Ppihl"
"284","Gm960","old symbol","Top6bl"
"285","Gm9844","old symbol","Tmsb10b"
"287","Gpd2","old symbol","G6pd2"
"290","Gramd2","old symbol","Gramd2a"
"291","Gramd3","old symbol","Gramd2b"
"292","Grasp","old symbol","Tamalin"
"295","Grn","synonym","Gzmn"
"296","Gsr","synonym","Gusr"
"297","Gucy1a3","old symbol","Gucy1a1"
"298","Gucy1b3","old symbol","Gucy1b1"
"299","Gyg","old symbol","Gyg1"
"300","H1fx","old symbol","H1f10"
"301","H2afj","old symbol","H2aj"
"302","H2afv","old symbol","H2az2"
"303","H2afx","old symbol","H2ax"
"304","H2afy","old symbol","Macroh2a1"
"305","H2afy2","old symbol","Macroh2a2"
"306","H2afz","old symbol","H2az1"
"307","Hacl1","old symbol","Krtap11-1"
"310","Hars","old symbol","Hars1"
"312","Hc","synonym","Tg(Igh-VHyHEL10/Ighm/Ighd)2Ccg"
"313","Hexdc","old symbol","Hexd"
"314","Hfm1","synonym","Hrtfm1"
"316","Hist1h1a","old symbol","H1f1"
"317","Hist1h1b","old symbol","H1f5"
"318","Hist1h1c","old symbol","H1f2"
"319","Hist1h1d","old symbol","H1f3"
"320","Hist1h1e","old symbol","H1f4"
"321","Hist1h2aa","old symbol","H2ac1"
"322","Hist1h2ab","old symbol","H2ac4"
"323","Hist1h2ac","old symbol","H2ac6"
"324","Hist1h2ad","old symbol","H2ac7"
"325","Hist1h2ae","old symbol","H2ac8"
"326","Hist1h2ag","old symbol","H2ac11"
"327","Hist1h2ah","old symbol","H2ac12"
"328","Hist1h2ai","old symbol","H2ac13"
"329","Hist1h2ak","old symbol","H2ac15"
"330","Hist1h2al","old symbol","H2af-ps2"
"331","Hist1h2bb","old symbol","H2bc3"
"332","Hist1h2bc","old symbol","H2bc4"
"333","Hist1h2be","old symbol","H2bc6"
"334","Hist1h2bf","old symbol","H2bc7"
"335","Hist1h2bg","old symbol","H2bc8"
"336","Hist1h2bh","old symbol","H2bc9"
"337","Hist1h2bj","old symbol","H2bc11"
"338","Hist1h2bk","old symbol","H2bc12"
"339","Hist1h2bl","old symbol","H2bc13"
"340","Hist1h2bm","old symbol","H2bc14"
"341","Hist1h2bn","old symbol","H2bc15"
"342","Hist1h3a","old symbol","H3c1"
"343","Hist1h3b","old symbol","H3c2"
"344","Hist1h3c","old symbol","H3c3"
"345","Hist1h3d","old symbol","H3c4"
"346","Hist1h3e","old symbol","H3c6"
"347","Hist1h3f","old symbol","H3c7"
"348","Hist1h3g","old symbol","H3c8"
"349","Hist1h3h","old symbol","H3c10"
"350","Hist1h3i","old symbol","H3c11"
"351","Hist1h4a","old symbol","H4c1"
"352","Hist1h4b","old symbol","H4c2"
"353","Hist1h4c","old symbol","H4c3"
"354","Hist1h4d","old symbol","H4c4"
"355","Hist1h4f","old symbol","H4c6"
"356","Hist1h4h","old symbol","H4c8"
"357","Hist1h4i","old symbol","H4c9"
"358","Hist1h4j","old symbol","H4c11"
"359","Hist1h4k","old symbol","H4c12"
"360","Hist2h2ab","old symbol","H2ac21"
"361","Hist2h2ac","old symbol","H2ac20"
"362","Hist2h2be","old symbol","H2bc21"
"363","Hist3h2a","old symbol","H2ac25"
"364","Hist4h4","old symbol","H4c16"
"366","Hn1l","old symbol","Jpt2"
"367","Hprt","old symbol","Hprt1"
"369","Hr","synonym","Tg(hREN)9Sig"
"370","Hrasls","old symbol","Plaat1"
"371","Hrasls5","old symbol","Plaat5"
"373","Hspb11","old symbol","Ift25"
